main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
스포츠/자동차,스포츠의류/운동화,4,[휠라]클래식보더 OG 1XM01011920,39000,39000,0
스포츠/자동차,스포츠의류/운동화,5,[휠라]휠라바리케이드엑스티 97 로우 1BM00838013,39000,39000,0
여행,ALL,2,(카드18%할인+5천원추가할인)비발디파크 시즌권 특가 판매,460000,315000,31
여행,ALL,3,(카드18%할인) 비발디파크 시즌권 특가 판매,460000,320000,30
여행,ALL,4,(카드15%할인)20/21 웰리힐리파크 스키 클럽시즌권 (락카포함),510000,260000,49
스포츠/자동차,자전거/보드/기타레저,2,[에이유테크]AU테크 안전배송_AU테크 레드윙 8A 전동킥보드 AU테크,996600,299000,69
스포츠/자동차,자전거/보드/기타레저,3,원이원이 초보자용 입문용 스케이트보드 롱보드,32500,29070,10
스포츠/자동차,자전거/보드/기타레저,4,마이크로킥보드_스쿠터 스피드,209000,188100,10
스포츠/자동차,자전거/보드/기타레저,5,[마이크로킥보드]마이크로킥보드_미니 핸드 디럭스 LED 레드,154000,138600,10
패션의류,ALL,11,이프지 특가  후드티 집업 티셔츠 빅사이즈 롱긴팔티,26300,7900,69
패션의류,ALL,12,44~99 빅사이즈 티셔츠 8종세트/블라우스/트렌치/자켓,89700,26910,70
패션의류,ALL,13,{니트모아} 가을맞이 롱가디건/니트/빅사이즈/원피스,32900,9900,69
패션의류,ALL,14,[트라이]여성팬티 5매/여자/여성/속옷/미디/맥시/위생/삼각/면,33000,9900,70
패션의류,브랜드 여성의류,2,[머스트비]머스트비 가을 신상품 블라우스/자켓/팬츠/원피스,69600,20900,69
패션의류,브랜드 여성의류,3,[포커스](현대백화점)[4CUS] 인베스트 골드버튼배색니트원피스_VFJF1OP3091,29800,26820,10
패션의류,브랜드 여성의류,4,[에고이스트]본사 - 겨울엔 못볼가격 BEST 역시즌_간절기~85%,590000,179000,69
유아동/출산,ALL,2,블랑슈 시그니처 블랙 아기물티슈 캡형 100매 10팩,30000,12740,57
유아동/출산,ALL,3,팸퍼스 베이비드라이 팬티/밴드 1박스 기저귀,367830,137510,62
