maincategory_name,subcategory_name,ranking,title,ori_price,dis_price,discount_percent
도서/음반,가정/생활/취미/레저,88,서사원  세상 쉽고 맛있는 튼이 이유식,19800,19800,0
도서/음반,가정/생활/취미/레저,89,세상에서 제일 재밌는 종이접기 + 네모아저씨의 페이퍼 애니멀  이원표,24120,24120,0
도서/음반,가정/생활/취미/레저,90,종이나라 똑똑한 어린이 급수 종이접기 1급/2급/3급 [전3권세트],11900,11900,0
도서/음반,가정/생활/취미/레저,91,근육운동 보충제 가이드 : 운동 목표에 따른 보충제 선택의 확실한 가이드라인   프레데릭 데라비에 마이클 건딜,22500,22500,0
e쿠폰/티켓,모바일 상품권,2,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용,29100,29100,3
e쿠폰/티켓,모바일 상품권,3,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,45000,45000,10
e쿠폰/티켓,모바일 상품권,4,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,97000,97000,3
e쿠폰/티켓,모바일 상품권,5,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,47000,47000,6
e쿠폰/티켓,모바일 상품권,6,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,48500,48500,3
e쿠폰/티켓,모바일 상품권,7,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,29100,29100,3
e쿠폰/티켓,모바일 상품권,8,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1만원권(ID바로충전),9700,9700,3
e쿠폰/티켓,모바일 상품권,9,[신세계상품권](이마트/아웃백) Pays 통합 상품권 5만원,48900,48900,2
e쿠폰/티켓,모바일 상품권,10,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,9700,9700,3
e쿠폰/티켓,모바일 상품권,11,[홈플러스](홈플러스) 홈플러스 상품권 모바일 교환권 10만원권,97500,97500,2
e쿠폰/티켓,모바일 상품권,12,[구글플레이](카드가능) 기프트코드 1만 5천원 / 구글 기프트카드,14550,14550,3
여행,해외여행,22,스페인포르투갈8일대한항공언제든지떠나는대한항공직항스페인국내선항공이동1회/6대특식,2090000,2090000,0
여행,해외여행,23,[상해(상하이)호텔]상하이 에디션(Shanghai EDITION<上海艾迪?酒店>),364750,364750,0
여행,해외여행,24,발칸어디까지가봤니발칸4국9일전1급/프레드야마세르비아/몬테네그로,1290000,1290000,0
여행,해외여행,25,(NO팁/NO옵션/NO쇼핑/온천 호텔) 대만/화련/101빌딩/예류/스펀/지우펀 4일,869000,869000,0
여행,해외여행,26,[괌호텔]피에스타 리조트 괌(Fiesta Resort Guam),187510,187510,0
여행,해외여행,27,부산출발다낭바나산포함/호이안/후에관광5일,399000,399000,0
여행,해외여행,28,(6대맛집투어+바나산국립공원)준특급 다낭/호이안/후에 4/5일,599000,599000,0
여행,해외여행,29,[싱가포르호텔]빌리지 호텔 앳 센토사 바이 파 이스트 호스피탈리티(Sentosa/Village Hotel at Sentosa by Far East Hospitality),368020,368020,0
여행,해외여행,30,판매NO.1호주시드니뉴질랜드남북섬8박10일포트스테판마운트쿡트래킹,2390000,2390000,0
여행,해외여행,31,대구직항  세부 가비 리조트 3박 5일,449000,449000,0
여행,해외여행,32,[홍콩호텔]아이클럽 셩완 호텔(iClub Sheung Wan Hotel<香港富?上環酒店>),66410,66410,0
여행,해외여행,33,[마닐라호텔]세다 호텔 보니파시오 글로벌 시티(Seda Hotel Bonifacio Global City),169850,169850,0
여행,해외여행,34,[라스베가스(NV) 호텔]트럼프 인터내셔널 호텔 라스베가스(Trump International Hotel Las Vegas),112140,112140,0
여행,여행소품,38,베트남 유심 무제한 칩 4일 5일 7일 심카드 호치민 하노이 다낭 나트랑 하롱베이 인천공항,5900,5900,0
여행,여행소품,39,태국유심칩 ais dtac 무제한 카드 8일 5일 공항수령,3500,3500,0
여행,여행소품,40,에어펌프 목쿠션 목베개 기내용/차량용,6900,6900,0
여행,여행소품,41,[아워리빙]휴대용 칫솔보관통/캠핑칫솔보관통/휴대용칫솔통/치약,1500,1500,0
여행,여행소품,42,한국 무제한 무약정 1일부터 렌탈/국내 포켓와이파이,2980,2980,0
여행,여행소품,43,인텍스 캠핑용 에어베개 인텍스에어베게 에어배개 인텍스 캠핑용 에어베개 인텍스에어베게 에어배개,4580,4580,10
여행,여행소품,44,5V-2A 인터넷전화기용 아답터.SA-A136,7500,7500,0
여행,여행소품,45,GA0502A-1  DC 5V/2A 인터넷전화기용아답터,8500,8500,0
여행,여행소품,46,엘지생활건강 엘라스틴 여행용 세트/세면도구세트,6500,6500,0
여행,여행소품,47,키즈트래블 컴포트 발받침대 여행용 기내 에어 발쿠션,9900,9900,0
여행,G9 해외패키지,42,|카드할인5%|싱가포르 클락키 레드하우스  칠리크랩 세트  식사권,25200,25200,0
여행,G9 해외패키지,43,|카드할인5%|싱가포르 플러튼 호텔 런치 디너 뷔페,30500,30500,0
여행,G9 해외패키지,44,|카드할인5%|조호바루 산리오 헬로키티 토마스 타운,22300,22300,0
여행,G9 해외패키지,45,|카드할인5%|싱가포르 비보시티-센토사 모노레일 (센토사 익스프레스),4200,4200,0
여행,G9 해외패키지,46,|카드할인5%|싱가포르 리버 크루즈 By WaterB,16000,16000,0
여행,G9 해외패키지,47,|카드할인5%|싱가포르 리버 크루즈,13200,13200,0
여행,G9 해외패키지,48,호치민 스트리트 나이트 푸드 투어(조인투어),38500,38500,0
여행,G9 해외패키지,49,|카드할인5%|방콕 암파와 수상시장 단독투어[금 토 일 출발],106300,106300,0
여행,G9 해외패키지,50,|카드할인5%|파리 오르세 미술관 입장권 (E티켓),21900,21900,0
여행,G9 해외패키지,51,파리 루브르 박물관 입장권 (E티켓/Fast),26400,26400,0
여행,G9 해외패키지,52,싱가포르 하드락카페(Hard Rock Cafe) 식사권,13900,13900,0
도서/음반,경제/경영/개발,52,예쁜 볼펜 증정/투자의 태도/곽상준 /돈을 잃지 않고 투자에 성공하는 기본 노하우,15300,15300,0
